topology,n_requests,trunc_eps,max_chi_used,served,served_ratio,utility,time_s
chain_8,8,0.1,1,5,0.625,12.400197533333328,0.003489499998977408
chain_8,8,0.01,1,5,0.625,12.400197533333328,0.0035562000011850614
chain_8,8,0.001,1,5,0.625,12.400197533333328,0.002940300000773277
chain_8,8,0.0001,1,5,0.625,12.400197533333328,0.0029506999999284744
chain_8,8,1e-06,4,5,0.625,12.400197533333328,0.0030662999997730367
chain_8,8,1e-08,4,5,0.625,12.400197533333328,0.0030213000027288217
chain_8,16,0.1,1,9,0.5625,21.908309999999997,0.03686279999965336
chain_8,16,0.01,1,9,0.5625,21.908309999999997,0.03614659999948344
chain_8,16,0.001,1,9,0.5625,21.908309999999997,0.037578499999654014
chain_8,16,0.0001,1,9,0.5625,21.908309999999997,0.035889599999791244
chain_8,16,1e-06,3,9,0.5625,21.908309999999997,0.035632700000860495
chain_8,16,1e-08,4,9,0.5625,21.908309999999997,0.036985300001106225
chain_8,24,0.1,1,9,0.375,31.208231999999995,0.10315669999909005
chain_8,24,0.01,1,9,0.375,31.208231999999995,0.10322790000282112
chain_8,24,0.001,1,9,0.375,31.208231999999995,0.10340019999785
chain_8,24,0.0001,1,9,0.375,31.208231999999995,0.10475170000063372
chain_8,24,1e-06,2,9,0.375,31.208231999999995,0.10390990000087186
chain_8,24,1e-08,4,9,0.375,31.208231999999995,0.10269210000114981
