path_length,strategy,n_links,depth,peak_concurrency,fidelity,delivered_fidelity,hold_time,fid_loss
3,linear,3,2,1,0.4133135539073623,0.2922847565601179,2.0,0.12102879734724442
3,balanced,3,2,1,0.4133135539073623,0.2922847565601179,2.0,0.12102879734724442
3,optimal,3,2,1,0.4133135539073623,0.2922847565601179,2.0,0.12102879734724442
3,linear,3,2,1,0.5214599164557926,0.3687630935309276,2.0,0.15269682292486497
3,balanced,3,2,1,0.5214599164557926,0.3687630935309276,2.0,0.15269682292486497
3,optimal,3,2,1,0.5214599164557926,0.3687630935309276,2.0,0.15269682292486497
3,linear,3,2,1,0.4729075498912681,0.33442810376935217,2.0,0.13847944612191593
3,balanced,3,2,1,0.47290754989126804,0.33442810376935217,2.0,0.13847944612191587
3,optimal,3,2,1,0.47290754989126804,0.33442810376935217,2.0,0.13847944612191587
3,linear,3,2,1,0.3939948769319999,0.27862308313221734,2.0,0.11537179379978257
3,balanced,3,2,1,0.39399487693199997,0.2786230831322174,2.0,0.11537179379978257
3,optimal,3,2,1,0.39399487693199997,0.2786230831322174,2.0,0.11537179379978257
3,linear,3,2,1,0.40476390452208016,0.28623866355003563,2.0,0.11852524097204453
3,balanced,3,2,1,0.40476390452208016,0.28623866355003563,2.0,0.11852524097204453
3,optimal,3,2,1,0.40476390452208016,0.28623866355003563,2.0,0.11852524097204453
3,linear,3,2,1,0.4784056279068441,0.33831620368559967,2.0,0.14008942422124443
3,balanced,3,2,1,0.4784056279068441,0.33831620368559967,2.0,0.14008942422124443
3,optimal,3,2,1,0.4784056279068441,0.33831620368559967,2.0,0.14008942422124443
3,linear,3,2,1,0.5006750009151704,0.3540645337535364,2.0,0.14661046716163395
3,balanced,3,2,1,0.5006750009151704,0.3540645337535364,2.0,0.14661046716163395
3,optimal,3,2,1,0.5006750009151704,0.3540645337535364,2.0,0.14661046716163395
3,linear,3,2,1,0.45044866655944776,0.3185457568557436,2.0,0.13190290970370416
3,balanced,3,2,1,0.4504486665594477,0.31854575685574354,2.0,0.13190290970370416
3,optimal,3,2,1,0.4504486665594477,0.31854575685574354,2.0,0.13190290970370416
3,linear,3,2,1,0.4678906334957668,0.3308802690238451,2.0,0.13701036447192172
3,balanced,3,2,1,0.4678906334957668,0.3308802690238451,2.0,0.13701036447192172
3,optimal,3,2,1,0.4678906334957668,0.3308802690238451,2.0,0.13701036447192172
3,linear,3,2,1,0.49767902896145066,0.3519458591422746,2.0,0.14573316981917606
3,balanced,3,2,1,0.4976790289614507,0.35194585914227466,2.0,0.14573316981917606
3,optimal,3,2,1,0.4976790289614507,0.35194585914227466,2.0,0.14573316981917606
3,linear,3,2,1,0.6160202014106655,0.43563370449203137,2.0,0.18038649691863412
3,balanced,3,2,1,0.6160202014106655,0.43563370449203137,2.0,0.18038649691863412
3,optimal,3,2,1,0.6160202014106655,0.43563370449203137,2.0,0.18038649691863412
3,linear,3,2,1,0.5717768974882319,0.40434597343619905,2.0,0.16743092405203286
3,balanced,3,2,1,0.571776897488232,0.40434597343619916,2.0,0.16743092405203286
3,optimal,3,2,1,0.571776897488232,0.40434597343619916,2.0,0.16743092405203286
3,linear,3,2,1,0.6701658011022533,0.47392408542690023,2.0,0.1962417156753531
3,balanced,3,2,1,0.6701658011022533,0.47392408542690023,2.0,0.1962417156753531
3,optimal,3,2,1,0.6701658011022533,0.47392408542690023,2.0,0.1962417156753531
3,linear,3,2,1,0.464330678540699,0.328362760082824,2.0,0.13596791845787498
3,balanced,3,2,1,0.4643306785406989,0.32836276008282395,2.0,0.13596791845787498
3,optimal,3,2,1,0.4643306785406989,0.32836276008282395,2.0,0.13596791845787498
3,linear,3,2,1,0.38030698722871287,0.26894335820685544,2.0,0.11136362902185742
3,balanced,3,2,1,0.3803069872287129,0.2689433582068555,2.0,0.11136362902185742
3,optimal,3,2,1,0.3803069872287129,0.2689433582068555,2.0,0.11136362902185742
3,linear,3,2,1,0.38221501774919475,0.27029266850872213,2.0,0.11192234924047262
3,balanced,3,2,1,0.38221501774919475,0.27029266850872213,2.0,0.11192234924047262
3,optimal,3,2,1,0.38221501774919475,0.27029266850872213,2.0,0.11192234924047262
3,linear,3,2,1,0.48315155357788886,0.34167240073333704,2.0,0.14147915284455181
3,balanced,3,2,1,0.4831515535778889,0.3416724007333371,2.0,0.14147915284455181
3,optimal,3,2,1,0.4831515535778889,0.3416724007333371,2.0,0.14147915284455181
3,linear,3,2,1,0.47620967993712887,0.3367632855398503,2.0,0.13944639439727857
3,balanced,3,2,1,0.4762096799371289,0.33676328553985035,2.0,0.13944639439727857
3,optimal,3,2,1,0.4762096799371289,0.33676328553985035,2.0,0.13944639439727857
3,linear,3,2,1,0.4867270329548128,0.3442008881477715,2.0,0.1425261448070413
3,balanced,3,2,1,0.4867270329548128,0.3442008881477715,2.0,0.1425261448070413
3,optimal,3,2,1,0.4867270329548128,0.3442008881477715,2.0,0.1425261448070413
3,linear,3,2,1,0.4615174075454638,0.32637328690874984,2.0,0.13514412063671394
3,balanced,3,2,1,0.46151740754546383,0.32637328690874984,2.0,0.135144120636714
3,optimal,3,2,1,0.46151740754546383,0.32637328690874984,2.0,0.135144120636714
3,linear,3,2,1,0.637212194233463,0.45062013889438207,2.0,0.1865920553390809
3,balanced,3,2,1,0.6372121942334629,0.450620138894382,2.0,0.18659205533908085
3,optimal,3,2,1,0.6372121942334629,0.450620138894382,2.0,0.18659205533908085
3,linear,3,2,1,0.6702574837109325,0.4739889210189229,2.0,0.1962685626920096
3,balanced,3,2,1,0.6702574837109325,0.4739889210189229,2.0,0.1962685626920096
3,optimal,3,2,1,0.6702574837109325,0.4739889210189229,2.0,0.1962685626920096
3,linear,3,2,1,0.37718845985104404,0.26673801553954896,2.0,0.11045044431149509
3,balanced,3,2,1,0.37718845985104404,0.26673801553954896,2.0,0.11045044431149509
3,optimal,3,2,1,0.37718845985104404,0.26673801553954896,2.0,0.11045044431149509
3,linear,3,2,1,0.4773540578377264,0.337572560273105,2.0,0.13978149756462138
3,balanced,3,2,1,0.47735405783772644,0.337572560273105,2.0,0.13978149756462144
3,optimal,3,2,1,0.47735405783772644,0.337572560273105,2.0,0.13978149756462144
3,linear,3,2,1,0.5612662175612979,0.39691308986709695,2.0,0.16435312769420096
3,balanced,3,2,1,0.5612662175612978,0.3969130898670969,2.0,0.1643531276942009
3,optimal,3,2,1,0.5612662175612978,0.3969130898670969,2.0,0.1643531276942009
3,linear,3,2,1,0.5471186077967161,0.3869082626920482,2.0,0.16021034510466786
3,balanced,3,2,1,0.5471186077967161,0.3869082626920482,2.0,0.16021034510466786
3,optimal,3,2,1,0.5471186077967161,0.3869082626920482,2.0,0.16021034510466786
3,linear,3,2,1,0.4376605593207084,0.30950233503760166,2.0,0.12815822428310675
3,balanced,3,2,1,0.4376605593207084,0.30950233503760166,2.0,0.12815822428310675
3,optimal,3,2,1,0.4376605593207084,0.30950233503760166,2.0,0.12815822428310675
3,linear,3,2,1,0.5394460240150416,0.381482408007117,2.0,0.15796361600792458
3,balanced,3,2,1,0.5394460240150415,0.38148240800711697,2.0,0.15796361600792452
3,optimal,3,2,1,0.5394460240150415,0.38148240800711697,2.0,0.15796361600792452
3,linear,3,2,1,0.5097984553960857,0.36051640702682214,2.0,0.14928204836926356
3,balanced,3,2,1,0.5097984553960857,0.36051640702682214,2.0,0.14928204836926356
3,optimal,3,2,1,0.5097984553960857,0.36051640702682214,2.0,0.14928204836926356
3,linear,3,2,1,0.381433456288306,0.26973996826656205,2.0,0.11169348802174395
3,balanced,3,2,1,0.381433456288306,0.26973996826656205,2.0,0.11169348802174395
3,optimal,3,2,1,0.381433456288306,0.26973996826656205,2.0,0.11169348802174395
3,linear,3,2,1,0.496678398807831,0.3512382391329802,2.0,0.1454401596748508
3,balanced,3,2,1,0.49667839880783093,0.3512382391329802,2.0,0.14544015967485074
3,optimal,3,2,1,0.49667839880783093,0.3512382391329802,2.0,0.14544015967485074
3,linear,3,2,1,0.4092822019650224,0.28943388774651235,2.0,0.11984831421851005
3,balanced,3,2,1,0.4092822019650224,0.28943388774651235,2.0,0.11984831421851005
3,optimal,3,2,1,0.4092822019650224,0.28943388774651235,2.0,0.11984831421851005
3,linear,3,2,1,0.7085771480374973,0.5010876059114725,2.0,0.20748954212602477
3,balanced,3,2,1,0.7085771480374972,0.5010876059114724,2.0,0.20748954212602477
3,optimal,3,2,1,0.7085771480374972,0.5010876059114724,2.0,0.20748954212602477
3,linear,3,2,1,0.49685672939337344,0.35136434995438864,2.0,0.1454923794389848
3,balanced,3,2,1,0.49685672939337344,0.35136434995438864,2.0,0.1454923794389848
3,optimal,3,2,1,0.49685672939337344,0.35136434995438864,2.0,0.1454923794389848
3,linear,3,2,1,0.4995829896447724,0.3532922913595676,2.0,0.1462906982852048
3,balanced,3,2,1,0.49958298964477243,0.35329229135956763,2.0,0.1462906982852048
3,optimal,3,2,1,0.49958298964477243,0.35329229135956763,2.0,0.1462906982852048
3,linear,3,2,1,0.44947605886630143,0.31785795361258284,2.0,0.1316181052537186
3,balanced,3,2,1,0.44947605886630143,0.31785795361258284,2.0,0.1316181052537186
3,optimal,3,2,1,0.44947605886630143,0.31785795361258284,2.0,0.1316181052537186
3,linear,3,2,1,0.6561120846569737,0.46398565720179014,2.0,0.19212642745518355
3,balanced,3,2,1,0.6561120846569736,0.46398565720179,2.0,0.19212642745518355
3,optimal,3,2,1,0.6561120846569736,0.46398565720179,2.0,0.19212642745518355
3,linear,3,2,1,0.4203198207904896,0.2972394090049033,2.0,0.12308041178558626
3,balanced,3,2,1,0.4203198207904896,0.2972394090049033,2.0,0.12308041178558626
3,optimal,3,2,1,0.4203198207904896,0.2972394090049033,2.0,0.12308041178558626
3,linear,3,2,1,0.6040768979936849,0.42718770629343805,2.0,0.17688919170024686
3,balanced,3,2,1,0.604076897993685,0.4271877062934381,2.0,0.17688919170024692
3,optimal,3,2,1,0.604076897993685,0.4271877062934381,2.0,0.17688919170024692
3,linear,3,2,1,0.48172022516778557,0.3406602019512028,2.0,0.14106002321658279
3,balanced,3,2,1,0.4817202251677855,0.3406602019512027,2.0,0.14106002321658279
3,optimal,3,2,1,0.4817202251677855,0.3406602019512027,2.0,0.14106002321658279
4,linear,4,3,1,0.5126892518907047,0.3118524586596109,3.0,0.20083679323109377
4,balanced,4,2,2,0.5126892518907046,0.3625607042479191,2.0,0.1501285476427855
4,optimal,4,2,2,0.5126892518907046,0.3625607042479191,2.0,0.1501285476427855
4,linear,4,3,1,0.34268460663078887,0.20844407548726043,3.0,0.13424053114352844
4,balanced,4,2,2,0.3426846066307889,0.2423377745033484,2.0,0.10034683212744053
4,optimal,4,2,2,0.3426846066307889,0.2423377745033484,2.0,0.10034683212744053
4,linear,4,3,1,0.41931615215845713,0.25505659134469016,3.0,0.16425956081376697
4,balanced,4,2,2,0.4193161521584572,0.29652964026151885,2.0,0.12278651189693834
4,optimal,4,2,2,0.4193161521584572,0.29652964026151885,2.0,0.12278651189693834
4,linear,4,3,1,0.45982059276170667,0.2796941458519735,3.0,0.18012644690973317
4,balanced,4,2,2,0.45982059276170667,0.32517334296471645,2.0,0.13464724979699022
4,optimal,4,2,2,0.45982059276170667,0.32517334296471645,2.0,0.13464724979699022
4,linear,4,3,1,0.38342076495652566,0.2332225764669072,3.0,0.15019818848961847
4,balanced,4,2,2,0.3834207649565256,0.27114534204346596,2.0,0.11227542291305964
4,optimal,4,2,2,0.3834207649565256,0.27114534204346596,2.0,0.11227542291305964
4,linear,4,3,1,0.44264443526072855,0.2692464391226999,3.0,0.17339799613802864
4,balanced,4,2,2,0.4426444352607285,0.31302680441946257,2.0,0.12961763084126593
4,optimal,4,2,2,0.4426444352607285,0.31302680441946257,2.0,0.12961763084126593
4,linear,4,3,1,0.41334906523285825,0.25142700339853924,3.0,0.161922061834319
4,balanced,4,2,2,0.41334906523285825,0.29230986925973684,2.0,0.1210391959731214
4,optimal,4,2,2,0.41334906523285825,0.29230986925973684,2.0,0.1210391959731214
4,linear,4,3,1,0.434481656242385,0.26428128196955525,3.0,0.17020037427282975
4,balanced,4,2,2,0.434481656242385,0.30725429622156947,2.0,0.12722736002081553
4,optimal,4,2,2,0.434481656242385,0.30725429622156947,2.0,0.12722736002081553
4,linear,4,3,1,0.35657710391613445,0.2168944368306665,3.0,0.13968266708546795
4,balanced,4,2,2,0.35657710391613445,0.2521621926688592,2.0,0.10441491124727525
4,optimal,4,2,2,0.35657710391613445,0.2521621926688592,2.0,0.10441491124727525
4,linear,4,3,1,0.36347234232080433,0.2210885896076373,3.0,0.14238375271316703
4,balanced,4,2,2,0.3634723423208044,0.2570383286181406,2.0,0.10643401370266381
4,optimal,4,2,2,0.3634723423208044,0.2570383286181406,2.0,0.10643401370266381
4,linear,4,3,1,0.39550518261100276,0.24057314085482942,3.0,0.15493204175617334
4,balanced,4,2,2,0.39550518261100276,0.2796911326155828,2.0,0.11581404999541994
4,optimal,4,2,2,0.39550518261100276,0.2796911326155828,2.0,0.11581404999541994
4,linear,4,3,1,0.3963594061371675,0.2410927376786305,3.0,0.15526666845853704
4,balanced,4,2,2,0.3963594061371676,0.280295217608762,2.0,0.11606418852840555
