n_requests,realization,n_failed,n_local_recovered,t_local_s,t_full_s,u_local,u_full,u_no_repair,u_plan0
6,0,0,0,0.0,0.6872602169987658,293.9002181545607,293.9002181545607,293.9002181545607,293.9002181545607
6,1,0,0,0.0,0.6776082030010002,293.9002181545607,293.9002181545607,293.9002181545607,293.9002181545607
6,2,1,1,0.013025529999140417,0.6881110429985711,240.21711479304375,293.9002181545607,210.7115149399508,293.9002181545607
6,3,1,1,0.013591992001238395,0.7024351330001082,240.21711479304375,293.9002181545607,210.7115149399508,293.9002181545607
6,4,0,0,0.0,0.6849576299991895,293.9002181545607,293.9002181545607,293.9002181545607,293.9002181545607
6,5,0,0,0.0,0.6819102839999687,293.9002181545607,293.9002181545607,293.9002181545607,293.9002181545607
6,6,0,0,0.0,0.6994958230006887,293.9002181545607,293.9002181545607,293.9002181545607,293.9002181545607
6,7,0,0,0.0,0.6888548449987866,293.9002181545607,293.9002181545607,293.9002181545607,293.9002181545607
6,8,0,0,0.0,0.6920792319997418,293.9002181545607,293.9002181545607,293.9002181545607,293.9002181545607
6,9,0,0,0.0,0.6731372449994524,293.9002181545607,293.9002181545607,293.9002181545607,293.9002181545607
6,10,0,0,0.0,0.6805792459999793,293.9002181545607,293.9002181545607,293.9002181545607,293.9002181545607
6,11,0,0,0.0,0.683967119000954,293.9002181545607,293.9002181545607,293.9002181545607,293.9002181545607
6,12,0,0,0.0,0.6911062470007892,293.9002181545607,293.9002181545607,293.9002181545607,293.9002181545607
6,13,0,0,0.0,0.6813736610001797,293.9002181545607,293.9002181545607,293.9002181545607,293.9002181545607
6,14,0,0,0.0,0.6977559039987682,293.9002181545607,293.9002181545607,293.9002181545607,293.9002181545607
6,15,0,0,0.0,0.6983335130007617,293.9002181545607,293.9002181545607,293.9002181545607,293.9002181545607
6,16,0,0,0.0,0.6871344290011621,293.9002181545607,293.9002181545607,293.9002181545607,293.9002181545607
6,17,0,0,0.0,0.7086789300010423,293.9002181545607,293.9002181545607,293.9002181545607,293.9002181545607
6,18,0,0,0.0,0.701186054999198,293.9002181545607,293.9002181545607,293.9002181545607,293.9002181545607
6,19,1,1,0.014732005998666864,0.6913809519992355,240.21711479304375,293.9002181545607,210.7115149399508,293.9002181545607
10,0,0,0,0.0,0.6708134189993871,415.51078434605876,415.51078434605876,415.51078434605876,415.51078434605876
10,1,0,0,0.0,0.6654178939988924,415.51078434605876,415.51078434605876,415.51078434605876,415.51078434605876
10,2,0,0,0.0,0.679990701000861,415.51078434605876,415.51078434605876,415.51078434605876,415.51078434605876
10,3,0,0,0.0,0.6729478249999374,415.51078434605876,415.51078434605876,415.51078434605876,415.51078434605876
10,4,0,0,0.0,0.6703059440005745,415.51078434605876,415.51078434605876,415.51078434605876,415.51078434605876
10,5,0,0,0.0,0.6832943850004085,415.51078434605876,415.51078434605876,415.51078434605876,415.51078434605876
10,6,0,0,0.0,0.677075761001106,415.51078434605876,415.51078434605876,415.51078434605876,415.51078434605876
10,7,0,0,0.0,0.6740768889994797,415.51078434605876,415.51078434605876,415.51078434605876,415.51078434605876
10,8,0,0,0.0,0.6726328329987155,415.51078434605876,415.51078434605876,415.51078434605876,415.51078434605876
10,9,0,0,0.0,0.6598407670007873,415.51078434605876,415.51078434605876,415.51078434605876,415.51078434605876
10,10,0,0,0.0,0.6720538879999367,415.51078434605876,415.51078434605876,415.51078434605876,415.51078434605876
10,11,0,0,0.0,0.6779721450002398,415.51078434605876,415.51078434605876,415.51078434605876,415.51078434605876
10,12,0,0,0.0,0.6741019729997788,415.51078434605876,415.51078434605876,415.51078434605876,415.51078434605876
10,13,0,0,0.0,0.6700482230007765,415.51078434605876,415.51078434605876,415.51078434605876,415.51078434605876
10,14,1,1,0.012617966000107117,0.6730316809989745,361.8276809845418,415.51078434605876,332.32208113144884,415.51078434605876
10,15,0,0,0.0,0.6725852460003807,415.51078434605876,415.51078434605876,415.51078434605876,415.51078434605876
10,16,0,0,0.0,0.6716992760011635,415.51078434605876,415.51078434605876,415.51078434605876,415.51078434605876
10,17,0,0,0.0,0.6705509719995462,415.51078434605876,415.51078434605876,415.51078434605876,415.51078434605876
10,18,0,0,0.0,0.6753239059999032,415.51078434605876,415.51078434605876,415.51078434605876,415.51078434605876
10,19,0,0,0.0,0.6585618130011426,415.51078434605876,415.51078434605876,415.51078434605876,415.51078434605876
