n_requests,solver,served,served_ratio,utility,time_s
4,Streaming,3,0.75,219.13417151404502,0.005892035000215401
4,Batched,3,0.75,219.13417151404502,0.7125450860003184
8,Streaming,4,0.5,291.9795316653254,0.006178411000291817
8,Batched,4,0.5,291.9795316653254,0.7028847929996118
12,Streaming,6,0.5,356.8365767770174,0.012009901998681016
12,Batched,6,0.5,356.8365767770174,0.860473536000427
16,Streaming,9,0.5625,452.49820653449996,0.011376480000762967
16,Batched,8,0.5,432.7397696427469,0.9231878969985701
