flat_toll,eq_social_cost,opt_social_cost,poa_worst
0.0,2.0,1.5,1.3333333333333333
0.1,1.8199999999999998,1.5,1.2133333333333332
0.2,1.6800000000000002,1.5,1.12
0.4,1.52,1.5,1.0133333333333334
0.7,1.5,1.5,1.0
1.0,1.5,1.5,1.0
