path_length,strategy,tau_mem,depth,peak_concurrency,fidelity,delivered_fidelity,hold_time
10,linear,1.0,9,1,0.3305306367999999,0.08264812564941697,9.0
10,balanced,1.0,4,4,0.3305306367999999,0.08521010294526811,4.0
10,optimal,1.0,4,4,0.3305306367999999,0.08521010294526811,4.0
10,linear,1.5,9,1,0.3305306367999999,0.08295519454620813,9.0
10,balanced,1.5,4,4,0.3305306367999999,0.09351526763688489,4.0
10,optimal,1.5,4,4,0.3305306367999999,0.09351526763688489,4.0
10,linear,2.0,9,1,0.3305306367999999,0.0841547374325014,9.0
10,balanced,2.0,4,4,0.3305306367999999,0.10557838748565289,4.0
10,optimal,2.0,4,4,0.3305306367999999,0.10557838748565289,4.0
10,linear,3.0,9,1,0.3305306367999999,0.090180664867011,9.0
10,balanced,3.0,4,4,0.3305306367999999,0.13207992942615795,4.0
10,optimal,3.0,4,4,0.3305306367999999,0.13207992942615795,4.0
10,linear,5.0,9,1,0.3305306367999999,0.11145134459070735,9.0
10,balanced,5.0,4,4,0.3305306367999999,0.17565924793981139,4.0
10,optimal,5.0,4,4,0.3305306367999999,0.17565924793981139,4.0
10,linear,8.0,9,1,0.3305306367999999,0.14580126170581117,9.0
10,balanced,8.0,4,4,0.3305306367999999,0.2163608777027684,4.0
10,optimal,8.0,4,4,0.3305306367999999,0.2163608777027684,4.0
10,linear,12.0,9,1,0.3305306367999999,0.18142236079568305,9.0
10,balanced,12.0,4,4,0.3305306367999999,0.24662485253673766,4.0
10,optimal,12.0,4,4,0.3305306367999999,0.24662485253673766,4.0
10,linear,20.0,9,1,0.3305306367999999,0.22477544729926502,9.0
10,balanced,20.0,4,4,0.3305306367999999,0.2759371774815924,4.0
10,optimal,20.0,4,4,0.3305306367999999,0.2759371774815924,4.0
