frontier_index,throughput,fidelity,latency,memory
133,3,0.7779999999999999,25.0,10.0
134,4,0.7419999999999999,40.0,16.0
135,4,0.7593407169883715,55.0,22.0
136,4,0.7757628779619115,85.0,34.0
137,4,0.7419999999999999,40.0,16.0
138,4,0.7593407169883715,55.0,22.0
139,4,0.7757628779619115,85.0,34.0
140,4,0.7419999999999999,40.0,16.0
141,4,0.7593407169883715,55.0,22.0
142,4,0.7757628779619115,85.0,34.0
143,3,0.7893821138211381,30.0,12.0
144,4,0.7505365853658535,45.0,18.0
145,4,0.7678773023542251,60.0,24.0
146,4,0.7842994633277651,90.0,36.0
147,4,0.7505365853658535,45.0,18.0
148,4,0.7678773023542251,60.0,24.0
149,4,0.7842994633277651,90.0,36.0
150,4,0.7505365853658535,45.0,18.0
151,4,0.7678773023542251,60.0,24.0
152,4,0.7842994633277651,90.0,36.0
153,3,0.8011209559844955,40.0,16.0
154,4,0.7593407169883716,55.0,22.0
155,4,0.7766814339767432,70.0,28.0
156,4,0.7931035949502832,100.0,40.0
157,4,0.7593407169883716,55.0,22.0
158,4,0.7766814339767432,70.0,28.0
159,4,0.7593407169883716,55.0,22.0
160,4,0.7766814339767432,70.0,28.0
161,3,0.8125030698056337,45.0,18.0
162,4,0.7678773023542252,60.0,24.0
163,4,0.7852180193425968,75.0,30.0
164,4,0.8016401803161368,105.0,42.0
165,4,0.7678773023542252,60.0,24.0
166,4,0.7852180193425968,75.0,30.0
167,4,0.7678773023542252,60.0,24.0
168,4,0.7852180193425968,75.0,30.0
169,3,0.8230171706158821,70.0,28.0
170,4,0.7757628779619116,85.0,34.0
171,4,0.7931035949502832,100.0,40.0
172,4,0.8095257559238231,130.0,52.0
173,4,0.7757628779619116,85.0,34.0
174,4,0.7757628779619116,85.0,34.0
175,3,0.8343992844370204,75.0,30.0
176,4,0.7842994633277652,90.0,36.0
177,4,0.8016401803161368,105.0,42.0
178,4,0.8180623412896768,135.0,54.0
179,4,0.7842994633277652,90.0,36.0
180,4,0.7842994633277652,90.0,36.0
181,1,0.8841463414634146,10.0,4.0
182,2,0.8670731707317073,15.0,6.0
183,3,0.7893821138211381,30.0,12.0
184,3,0.8125030698056337,45.0,18.0
185,3,0.8343992844370204,75.0,30.0
186,3,0.7893821138211381,30.0,12.0
187,3,0.8125030698056337,45.0,18.0
188,3,0.8343992844370204,75.0,30.0
189,3,0.7893821138211381,30.0,12.0
190,3,0.8125030698056337,45.0,18.0
191,3,0.8343992844370204,75.0,30.0
192,2,0.8841463414634146,20.0,8.0
193,3,0.8007642276422763,35.0,14.0
194,3,0.8238851836267719,50.0,20.0
195,3,0.8457813982581586,80.0,32.0
196,3,0.8007642276422763,35.0,14.0
