swapping_strategy,n_requests,n_bundles,served,served_ratio,utility,mean_delivered_fidelity,time_s
linear,8,6,2,0.25,207.38757411941572,0.85,0.7219408589999148
optimal_order,8,6,2,0.25,207.38757411941572,0.85,0.6556215220002741
