episode,served,reward
0,4,111.05758620801649
1,3,106.6805925948089
2,2,103.67400423420048
3,0,0.0
4,1,57.54382747431577
5,2,89.30503619924356
6,0,0.0
7,1,27.956020775683537
8,1,11.928002410064007
9,4,112.9632248482535
