mean_rate,n_requests,regime,served,served_ratio,on_time_ratio,mean_delivered_fidelity,mean_memory_utilization,weighted_on_time,wall_time_s
0.8,8,static,0,0.0,0.0,0.0,0.0,0,0.06129990800036467
0.8,8,online,0,0.0,0.0,0.0,0.0,0,0.01913365400105249
0.8,8,receding_horizon,0,0.0,0.0,0.0,0.0,0,0.061664838998694904
1.5,14,static,1,0.07142857142857142,1.0,0.4008843104207092,0.0058823529411764705,2.0,0.07923882099930779
1.5,14,online,1,0.07142857142857142,1.0,0.4008843104207092,0.047058823529411764,2.0,0.042728297999929055
1.5,14,receding_horizon,1,0.07142857142857142,1.0,0.4008843104207092,0.0058823529411764705,2.0,0.08060929200109967
