lambda,eq_social_cost,opt_social_cost,poa_worst
0.0,2.0,1.5,1.3333333333333333
0.2,1.7222222222222228,1.5,1.1481481481481486
0.4,1.591836734693878,1.5,1.0612244897959187
0.6,1.53125,1.5,1.0208333333333333
0.8,1.5061728395061729,1.5,1.0041152263374487
1.0,1.5,1.5,1.0
