n_requests,n_bundles,n_variables,solver,instance,u_star,u_solver,gap_abs,gap_rel,t_exact_s,t_solver_s
4,10,10,hybrid,0,195.2814268072735,98.21781038984886,97.06361641742464,0.4970447932727281,0.0020176100006210618,0.03699058299935132
4,10,10,metropolis,0,195.2814268072735,191.778146570521,3.5032802367525164,0.017939648916074143,0.0020176100006210618,0.7117462630012596
4,10,10,qubo_full,0,195.2814268072735,98.21781038984886,97.06361641742464,0.4970447932727281,0.0020176100006210618,0.03657183300128963
4,10,10,sqa,0,195.2814268072735,109.16294416255613,86.11848264471737,0.44099679141380477,0.0020176100006210618,0.44452824299878557
4,9,9,hybrid,1,189.91165459690262,132.60275486301651,57.30889973388611,0.3017661020095224,0.0027764710011979332,0.03856137199909426
4,9,9,metropolis,1,189.91165459690262,189.9116545969026,2.842170943040401e-14,1.496575315018479e-16,0.0027764710011979332,0.5872848610015353
4,9,9,qubo_full,1,189.91165459690262,132.60275486301651,57.30889973388611,0.3017661020095224,0.0027764710011979332,0.026849994001167943
4,9,9,sqa,1,189.91165459690262,178.64626970702798,11.265384889874639,0.059319081358045166,0.0027764710011979332,0.32591934700030833
4,7,7,hybrid,2,116.88712044307175,11.009463564068964,105.87765687900279,0.9058111490612777,0.0015944080005283467,0.043271548000120674
4,7,7,metropolis,2,116.88712044307175,113.56617407498635,3.3209463680854014,0.02841156797683986,0.0015944080005283467,0.7664833350008848
4,7,7,qubo_full,2,116.88712044307175,11.009463564068964,105.87765687900279,0.9058111490612777,0.0015944080005283467,0.030263020998972934
4,7,7,sqa,2,116.88712044307175,47.4018508330584,69.48526961001335,0.5944647224315461,0.0015944080005283467,0.32278735500040057
4,9,9,hybrid,3,275.05706544093516,221.8797496533324,53.177315787602765,0.19333193896457782,0.0014314489999378566,0.036631049999414245
4,9,9,metropolis,3,275.05706544093516,275.05706544093516,0.0,0.0,0.0014314489999378566,0.6012500259985245
4,9,9,qubo_full,3,275.05706544093516,221.8797496533324,53.177315787602765,0.19333193896457782,0.0014314489999378566,0.02619260299979942
4,9,9,sqa,3,275.05706544093516,172.77538639512954,102.28167904580562,0.37185621420719056,0.0014314489999378566,0.4747922700007621
6,11,11,hybrid,0,243.86120834616466,193.4067576379593,50.45445070820537,0.2068982231753093,0.0014206640007614624,0.04142354699979478
6,11,11,metropolis,0,243.86120834616466,243.86120834616466,0.0,0.0,0.0014206640007614624,0.7676328400011698
6,11,11,qubo_full,0,243.86120834616466,193.4067576379593,50.45445070820537,0.2068982231753093,0.0014206640007614624,0.0310965219996433
6,11,11,sqa,0,243.86120834616466,91.92858494121816,151.9326234049465,0.6230290763969145,0.0014206640007614624,0.34580720600024506
6,15,15,hybrid,1,301.642256509526,51.52998152698886,250.11227498253714,0.8291685584000346,0.0020616130004782462,0.04642482700000983
6,15,15,metropolis,1,301.642256509526,301.642256509526,0.0,0.0,0.0020616130004782462,0.7026004730014392
6,15,15,qubo_full,1,301.642256509526,51.52998152698886,250.11227498253714,0.8291685584000346,0.0020616130004782462,0.03376120600114518
6,15,15,sqa,1,301.642256509526,234.87090210936228,66.77135440016374,0.22135941818236288,0.0020616130004782462,0.6070906610002567
6,12,12,hybrid,2,142.0546739146682,56.67970080427599,85.3749731103922,0.6010008031251171,0.004246894999596407,0.05655789699994784
6,12,12,metropolis,2,142.0546739146682,132.52980184723177,9.524872067436434,0.06705074746894985,0.004246894999596407,0.802239530999941
6,12,12,qubo_full,2,142.0546739146682,56.67970080427599,85.3749731103922,0.6010008031251171,0.004246894999596407,0.04529479499979061
6,12,12,sqa,2,142.0546739146682,61.083829483331776,80.97084443133642,0.5699977494578978,0.004246894999596407,0.6502321650004887
6,13,13,hybrid,3,233.68280290298608,214.02522534402345,19.65757755896263,0.0841207710398934,0.0016167350004252512,0.06241077800041239
6,13,13,metropolis,3,233.68280290298608,233.68280290298605,2.842170943040401e-14,1.216251648701909e-16,0.0016167350004252512,0.6780912060003175
6,13,13,qubo_full,3,233.68280290298608,214.02522534402345,19.65757755896263,0.0841207710398934,0.0016167350004252512,0.03373197700057062
6,13,13,sqa,3,233.68280290298608,155.57968571948032,78.10311718350576,0.3342270642651031,0.0016167350004252512,0.5524937240006693
8,16,16,hybrid,0,280.75010972835315,155.99751442086807,124.75259530748508,0.4443545736391434,0.0020687810010713292,0.05045864399835409
8,16,16,metropolis,0,280.75010972835315,269.83739529251574,10.912714435837415,0.03886984922782857,0.0020687810010713292,0.6747571760006394
8,16,16,qubo_full,0,280.75010972835315,155.99751442086807,124.75259530748508,0.4443545736391434,0.0020687810010713292,0.03732100100023672
8,16,16,sqa,0,280.75010972835315,112.65681898991069,168.09329073844248,0.5987292076255478,0.0020687810010713292,0.32933203100037645
8,17,17,hybrid,1,267.98053822010615,116.95262722908114,151.027910991025,0.563577907538114,0.001703317999272258,0.058928071999616805
8,17,17,metropolis,1,267.98053822010615,267.98053822010615,0.0,0.0,0.001703317999272258,0.753492602998449
8,17,17,qubo_full,1,267.98053822010615,116.95262722908114,151.027910991025,0.563577907538114,0.001703317999272258,0.03952140399997006
8,17,17,sqa,1,267.98053822010615,61.18122131526108,206.79931690484509,0.771695281599107,0.001703317999272258,0.37697917299919936
8,13,13,hybrid,2,238.73186257704236,141.64271148814169,97.08915108890068,0.4066870255224878,0.0015409329989779508,0.048979953999150894
8,13,13,metropolis,2,238.73186257704236,231.82626175908987,6.9056008179524895,0.02892617995523722,0.0015409329989779508,0.6386911800000235
8,13,13,qubo_full,2,238.73186257704236,141.64271148814169,97.08915108890068,0.4066870255224878,0.0015409329989779508,0.037399896998977056
