profile,t1_us,t2_us,anneal_time_us,served_ratio,utility,mean_fidelity,mean_delivered_fidelity,fidelity_retention
ideal,1000000000.0,1000000000.0,1.0,0.32,279.70649391342266,0.7605846933609375,0.7605846064991311,0.9999998857960104
superconducting_2024,60.0,40.0,200.0,0.32,279.70649391342266,0.7605846933609375,0.26850500759474466,0.3530244691202652
ion_trap,2000.0,1000.0,50.0,0.32,279.70649391342266,0.7605846933609375,0.6957419269552143,0.9147461591434475
photonic,10000.0,5000.0,10.0,0.32,279.70649391342266,0.7605846933609375,0.7464376619078731,0.9813997946888068
