n_requests,topology,n_qubo_variables,n_qubits,lattice_size,utility,served,chain_break_fraction,embedded,wall_time_s
4,chimera,50,832,,5.470989999999999,2,0.0,True,2.740717399999994
4,pegasus,50,960,7,4.5160596888888875,2,0.0,True,1.041709200002515
4,zephyr,50,880,5,5.470989999999999,2,0.0,True,0.8521049000009953
6,chimera,52,832,,4.772005280183125,3,0.0,True,4.357004800000141
6,pegasus,52,960,7,5.908349999999999,3,0.0,True,2.0061053999997966
6,zephyr,52,880,5,6.58894722222222,4,0.0,True,1.0552387999996427
8,chimera,55,896,,8.976324734071106,4,0.0,True,7.808765900001163
8,pegasus,55,960,7,7.148287511848885,3,0.0,True,3.651159799999732
8,zephyr,55,880,5,10.010151045182218,5,0.0,True,2.0572389000008116
