n_requests,n_qubo_variables,qa_utility,qa_served,qa_wall_time_s,qa_n_qubits,qa_chain_break_fraction,qa_embedded,sa_utility,sa_wall_time_s,sqa_utility,sqa_wall_time_s
4,50,5.112525999999998,2,0.9432632680000097,832,0.0,True,0.6818549795555551,0.029513800000131596,2.9218372007377766,0.33396386499953223
6,52,6.15158722222222,3,1.1195984469995892,832,0.0,True,0.6818549795555551,0.03120858600050269,5.521717533333332,0.3570186950000789
8,55,11.445267222222217,5,2.6302539779990184,896,0.0,True,0.6818549795555551,0.03326014999947802,2.864345726151109,0.38925149500028056
