n_requests,n_bundles,nominal_util,nominal_worst,robust_util,robust_worst,worst_util_gain,nominal_util_loss
4,10,219.13417151404502,139.32262507257212,219.13417151404502,139.32262507257212,0.0,0.0
6,13,291.9795316653254,203.26441165663803,276.3953455241814,213.85781212836267,10.593400471724635,15.584186141144016
8,13,291.9795316653254,203.26441165663803,276.3953455241814,213.85781212836267,10.593400471724635,15.584186141144016
