topology,n_requests,sampler,calibration,n_solver_runs,n_instances,mean_raw_feasible_read_rate,fraction_runs_with_any_feasible,mean_raw_request_conflicts,mean_raw_edge_violations,mean_raw_memory_violations,mean_raw_violation_count,mean_raw_overload_units,mean_raw_gap_on_feasible_runs_pct,mean_repaired_gap_pct,mean_B,mean_D,mean_B_ratio,mean_D_ratio,mean_sample_time_s
chain10_c6,8,sa,conventional,175,35,0.12,0.12,1.04,0.37714285714285717,1.582857142857143,3.0,3.96,61.828252602708645,52.62293469605264,86.90597283192692,86.90597283192692,0.6541002955777069,0.797357889131423,0.08077661409308867
chain10_c6,8,sa,resource_aware,175,35,0.10285714285714286,0.10285714285714286,1.062857142857143,0.4342857142857143,1.6857142857142857,3.182857142857143,4.222857142857142,60.95686047725111,53.12608162354654,57.07373056853113,71.96671863944331,0.6541002955777069,0.797357889131423,0.07813513307632612
chain10_c6,8,sqa,conventional,175,35,0.4342857142857143,0.4342857142857143,0.7485714285714286,0.011428571428571429,0.005714285714285714,0.7657142857142857,0.017142857142857144,39.02042500784116,32.955985424215235,86.90597283192692,86.90597283192692,0.6541002955777069,0.797357889131423,6.584926963789123
chain10_c6,8,sqa,resource_aware,175,35,0.46285714285714286,0.46285714285714286,0.6514285714285715,0.005714285714285714,0.005714285714285714,0.6628571428571428,0.011428571428571429,36.989053745078245,31.051053667849025,57.07373056853113,71.96671863944331,0.6541002955777069,0.797357889131423,6.560953477343677
chain10_c6,16,sa,conventional,50,10,0.0,0.0,1.16,0.48,2.38,4.02,5.24,nan,69.48373721545626,94.67581478988694,94.67581478988694,0.8017171563562867,0.9775995131709954,0.1030186298652552
chain10_c6,16,sa,resource_aware,50,10,0.04,0.04,1.22,0.58,2.46,4.26,5.54,71.5332967451831,68.83702635647548,76.07042460907614,92.71774719734815,0.8017171563562867,0.9775995131709954,0.10649775414261967
chain10_c6,16,sqa,conventional,50,10,0.42,0.42,0.8,0.02,0.04,0.86,0.06,44.11161818963976,40.60248355808412,94.67581478988694,94.67581478988694,0.8017171563562867,0.9775995131709954,7.005862447482068
chain10_c6,16,sqa,resource_aware,50,10,0.34,0.34,0.86,0.04,0.0,0.9,0.04,39.537762368080976,39.248587227273696,76.07042460907614,92.71774719734815,0.8017171563562867,0.9775995131709954,6.932834505718201
chain10_c6,24,sa,conventional,20,4,0.05,0.05,0.95,0.75,1.4,3.1,4.7,88.78499905686347,79.48070623029977,102.6644234282941,102.6644234282941,0.8683057896338239,0.9717687653381294,0.11238828758359887
chain10_c6,24,sa,resource_aware,20,4,0.05,0.05,1.0,0.85,1.4,3.25,4.75,88.78499905686347,78.75252965470898,89.10321862861522,100.03213198921023,0.8683057896338239,0.9717687653381294,0.11172393129672856
chain10_c6,24,sqa,conventional,20,4,0.4,0.4,0.8,0.1,0.0,0.9,0.1,37.035402074312906,36.429305205121054,102.6644234282941,102.6644234282941,0.8683057896338239,0.9717687653381294,6.22503986255615
chain10_c6,24,sqa,resource_aware,20,4,0.45,0.45,0.75,0.0,0.1,0.85,0.1,36.668512288883804,36.8550536650118,89.10321862861522,100.03213198921023,0.8683057896338239,0.9717687653381294,6.763853752048453
chain8_c4,8,sa,conventional,50,10,0.68,0.68,0.24,0.18,0.1,0.52,0.52,61.526274379549676,56.85108830393908,87.1121949453242,87.1121949453242,0.8067105291862898,0.9662805037179416,0.08064393079839646
chain8_c4,8,sa,resource_aware,50,10,0.58,0.58,0.32,0.32,0.16,0.8,0.84,65.6836683082999,56.19412399578121,69.99919681573486,84.82266158315394,0.8067105291862898,0.9662805037179416,0.0825456484593451
chain8_c4,8,sqa,conventional,50,10,0.64,0.64,0.36,0.0,0.0,0.36,0.0,32.642380547731726,29.048945736926395,87.1121949453242,87.1121949453242,0.8067105291862898,0.9662805037179416,8.211346805847716
chain8_c4,8,sqa,resource_aware,50,10,0.66,0.66,0.38,0.0,0.0,0.38,0.0,35.6808238455816,30.890064813099276,69.99919681573486,84.82266158315394,0.8067105291862898,0.9662805037179416,8.193260834279936
grid3x3_c4,8,sa,conventional,30,6,0.3,0.3,0.5,0.26666666666666666,0.8333333333333334,1.6,2.3,81.5111393294833,64.76682693942985,103.00404914738549,103.00404914738549,0.8647542890109976,0.9502623971943132,0.10030774592111508
grid3x3_c4,8,sa,resource_aware,30,6,0.2,0.2,0.5333333333333333,0.36666666666666664,0.8,1.7,2.6,79.50336790722007,67.17264169075462,88.99423234143616,97.66902700885444,0.8647542890109976,0.9502623971943132,0.10081918889191002
grid3x3_c4,8,sqa,conventional,30,6,0.43333333333333335,0.43333333333333335,0.7333333333333333,0.0,0.0,0.7333333333333333,0.0,30.00148991498133,24.436066998364957,103.00404914738549,103.00404914738549,0.8647542890109976,0.9502623971943132,6.54196348049445
grid3x3_c4,8,sqa,resource_aware,30,6,0.23333333333333334,0.23333333333333334,1.0666666666666667,0.0,0.03333333333333333,1.1,0.03333333333333333,36.23692832612884,26.414947092187457,88.99423234143616,97.66902700885444,0.8647542890109976,0.9502623971943132,6.841820804181043
grid4x4_c5,8,sa,conventional,245,49,0.012244897959183673,0.012244897959183673,2.036734693877551,1.4040816326530612,1.963265306122449,5.404081632653061,6.587755102040816,74.209496980082,57.61949632364701,86.46953619643708,86.46953619643708,0.7638314219294495,0.843668610610954,0.1512463831703882
grid4x4_c5,8,sa,resource_aware,245,49,0.00816326530612245,0.00816326530612245,2.0693877551020408,1.4244897959183673,1.963265306122449,5.457142857142857,6.624489795918367,81.30513649442777,56.620554016746894,65.4116480761709,72.72912185781365,0.7638314219294495,0.843668610610954,0.13795586241485208
grid4x4_c5,8,sqa,conventional,245,49,0.11020408163265306,0.11020408163265306,1.9183673469387754,0.02040816326530612,0.0163265306122449,1.9551020408163264,0.036734693877551024,29.87804283147049,22.42010396943406,86.46953619643708,86.46953619643708,0.7638314219294495,0.843668610610954,6.58916556137633
grid4x4_c5,8,sqa,resource_aware,245,49,0.11428571428571428,0.11428571428571428,1.7183673469387755,0.004081632653061225,0.02040816326530612,1.7428571428571429,0.02857142857142857,29.157864878938643,24.766936224386605,65.4116480761709,72.72912185781365,0.7638314219294495,0.843668610610954,6.767785153603087
grid4x4_c5,16,sa,conventional,105,21,0.009523809523809525,0.009523809523809525,2.238095238095238,1.8666666666666667,2.5047619047619047,6.609523809523809,9.17142857142857,88.08015785801724,72.67242502800138,92.4025516143681,92.4025516143681,0.8929218751841981,0.9832496793396172,0.19286390908971607
grid4x4_c5,16,sa,resource_aware,105,21,0.01904761904761905,0.01904761904761905,2.3142857142857145,1.9142857142857144,2.4285714285714284,6.6571428571428575,9.0,78.11406653519376,72.49060704489868,82.1009730750732,90.59631539835888,0.8929218751841981,0.9832496793396172,0.19288641231666717
grid4x4_c5,16,sqa,conventional,105,21,0.18095238095238095,0.18095238095238095,1.561904761904762,0.0,0.009523809523809525,1.5714285714285714,0.009523809523809525,35.44386351414851,30.393660350883096,92.4025516143681,92.4025516143681,0.8929218751841981,0.9832496793396172,6.811822439663644
grid4x4_c5,16,sqa,resource_aware,105,21,0.17142857142857143,0.17142857142857143,1.5333333333333334,0.01904761904761905,0.06666666666666667,1.619047619047619,0.11428571428571428,38.952190644651395,31.85406910752535,82.1009730750732,90.59631539835888,0.8929218751841981,0.9832496793396172,6.702616374951876
grid4x4_c5,24,sa,conventional,20,4,0.0,0.0,2.85,1.8,2.5,7.15,8.35,nan,79.95966119771529,111.8759625367993,111.8759625367993,0.8679410966046479,1.0,0.23827893335255795
