sampler,metric,difference_definition,lower_is_better,n_instances,mean_paired_difference,median_paired_difference,bootstrap_95_ci_low,bootstrap_95_ci_high,ra_better_fraction,conventional_better_fraction,tie_fraction
sa,raw_feasible_rate,resource_aware - conventional,False,139,-0.012949640287769784,0.0,-0.02877697841726619,0.0014388489208633094,0.03597122302158273,0.08633093525179857,0.8776978417266187
sa,repaired_optimality_gap_pct,resource_aware - conventional,True,139,-0.29416564088486286,0.0,-1.0113743510055617,0.4013808630343522,0.38848920863309355,0.3381294964028777,0.2733812949640288
sqa,raw_feasible_rate,resource_aware - conventional,False,139,-0.004316546762589929,0.0,-0.04748201438848921,0.03884892086330936,0.302158273381295,0.33093525179856115,0.3669064748201439
sqa,repaired_optimality_gap_pct,resource_aware - conventional,True,139,0.6990921988828102,0.15159696952759488,-0.7848579805604242,2.154586795212852,0.49640287769784175,0.5035971223021583,0.0
sa,raw_mean_overload_units,resource_aware - conventional,True,139,0.09928057553956834,0.0,-0.03309352517985612,0.2302158273381295,0.18705035971223022,0.3237410071942446,0.4892086330935252
sqa,raw_mean_overload_units,resource_aware - conventional,True,139,0.014388489208633094,0.0,-0.007194244604316547,0.03741007194244605,0.07913669064748201,0.1223021582733813,0.7985611510791367
