n_requests,family,n_instances,n_instances_with_pairs,n_violating_pairs,mean_instance_delta1_fraction,pair_weighted_delta1_fraction,bound_set_by_delta1_fraction,p0_delta1_pin_fraction,coefficient_tightened_fraction,mean_coefficient_ratio
8,edge,360,360,18862,0.7532167503937408,0.8036793553175697,0.9888888888888889,0.7388888888888889,0.2611111111111111,0.9266024473491435
8,memory,360,360,26836,0.5775043992608081,0.5798181547175436,0.9888888888888889,0.875,0.125,0.9572546318330052
16,edge,360,360,45843,0.9092528448834177,0.9326178478720851,1.0,0.9138888888888889,0.08611111111111111,0.9882459192845306
16,memory,360,360,63820,0.8371430383579574,0.8334377937950486,1.0,0.9916666666666667,0.008333333333333333,0.9984006622162276
24,edge,360,360,70304,0.9695284471959875,0.976630063723259,1.0,0.9777777777777777,0.022222222222222223,0.9970694098470941
24,memory,360,360,98239,0.9413356175508251,0.9340180580014047,1.0,0.9972222222222222,0.002777777777777778,0.9996863196148681
